,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time
0,0,100,500,L2-LS,0.3031387809999999,0.010079320000000003
1,0,100,500,L1-LS,0.4460033350000001,0.004984943000000186
2,0,100,500,L2-LogReg,0.46115827200000004,0.005083649999999995
3,0,100,500,L2-LogReg,0.5060004890000003,0.004665130000000239
4,0,100,1000,L2-LS,0.5134857610000001,0.009466697000000135
5,0,100,1000,L1-LS,0.8433057869999998,0.008412097999999979
6,0,100,1000,L2-LogReg,1.3601448069999993,0.009287231000000062
7,0,100,1000,L2-LogReg,1.0648708080000002,0.008948009000000035
8,0,100,1500,L2-LS,0.7437358290000002,0.013262264999999829
9,0,100,1500,L1-LS,1.2968725689999996,0.013067204999998694
10,0,100,1500,L2-LogReg,2.0587431290000016,0.01571766500000038
11,0,100,1500,L2-LogReg,1.5999296310000002,0.01388259199999986
12,0,100,2000,L2-LS,0.9801456939999991,0.016766625999999007
13,0,100,2000,L1-LS,1.7327156530000014,0.017064850000000575
14,0,100,2000,L2-LogReg,2.8003445120000006,0.01789124300000111
15,0,100,2000,L2-LogReg,1.7705180469999995,0.01736640900000097
16,0,100,2500,L2-LS,1.265831391999999,0.020836548999998428
17,0,100,2500,L1-LS,2.1313363099999982,0.020701191000000563
18,0,100,2500,L2-LogReg,3.130160490999998,0.02249033200000028
19,0,100,2500,L2-LogReg,2.597366450999999,0.02193434299999808
20,0,100,3000,L2-LS,1.508203954999999,0.027590022000001824
21,0,100,3000,L1-LS,2.6084195140000013,0.02540988799999866
22,0,100,3000,L2-LogReg,4.236383493000005,0.02765664700000059
23,0,100,3000,L2-LogReg,3.2280706900000027,0.025835196000002725
24,0,200,500,L2-LS,0.256195028999997,0.004495099999999752
25,0,200,500,L1-LS,0.42952731599999794,0.004529889999993486
26,0,200,500,L2-LogReg,0.7054949919999984,0.005007562000002963
27,0,200,500,L2-LogReg,0.5224568000000005,0.005244460000000117
28,0,200,1000,L2-LS,0.5026997370000004,0.009652394999996261
29,0,200,1000,L1-LS,0.8535165280000001,0.00872301300000089
30,0,200,1000,L2-LogReg,1.445584556,0.009143748999996149
31,0,200,1000,L2-LogReg,1.0597110130000047,0.008831226000005188
32,0,200,1500,L2-LS,0.7542618270000006,0.012700255000005711
33,0,200,1500,L1-LS,1.2511210220000066,0.012578916000002494
34,0,200,1500,L2-LogReg,2.170690309000001,0.013444503000002328
35,0,200,1500,L2-LogReg,1.6022097179999975,0.013439812000001439
36,0,200,2000,L2-LS,0.9948390320000016,0.016679408999998202
37,0,200,2000,L1-LS,1.6617881089999997,0.017907449999995606
38,0,200,2000,L2-LogReg,2.502083595000002,0.017858496000002333
39,0,200,2000,L2-LogReg,2.145518316999997,0.01781137199999705
40,0,200,2500,L2-LS,1.241076708999998,0.02135303700000435
41,0,200,2500,L1-LS,2.1065380100000013,0.021836057999998104
42,0,200,2500,L2-LogReg,2.5201693620000043,0.02261143600000537
43,0,200,2500,L2-LogReg,2.7054015749999962,0.022434570000001486
44,0,200,3000,L2-LS,1.4872659659999954,0.025043195999998602
45,0,200,3000,L1-LS,2.5040953700000017,0.025016202999992743
