,repetition,step size,type,algorithm,loss
0,0,0.009999999776482582,Least squares - L2Reg,proximal point,8.075293153017451
1,0,0.009999999776482582,Least squares - L2Reg,gradient,49.700958876312555
2,0,0.01268961001187563,Least squares - L2Reg,proximal point,6.797745859351957
3,0,0.01268961001187563,Least squares - L2Reg,gradient,48.943759505265646
4,0,0.016102619469165802,Least squares - L2Reg,proximal point,5.060606374648476
5,0,0.016102619469165802,Least squares - L2Reg,gradient,47.864547470202055
6,0,0.020433597266674042,Least squares - L2Reg,proximal point,4.336574658856342
7,0,0.020433597266674042,Least squares - L2Reg,gradient,46.02219562019746
8,0,0.025929437950253487,Least squares - L2Reg,proximal point,3.639762982096125
9,0,0.025929437950253487,Least squares - L2Reg,gradient,43.28046798791178
10,0,0.03290344402194023,Least squares - L2Reg,proximal point,3.416122024627502
11,0,0.03290344402194023,Least squares - L2Reg,gradient,39.49127219406196
12,0,0.04175318777561188,Least squares - L2Reg,proximal point,3.032611228178739
13,0,0.04175318777561188,Least squares - L2Reg,gradient,34.75308783631232
14,0,0.05298316851258278,Least squares - L2Reg,proximal point,2.8930188726067434
15,0,0.05298316851258278,Least squares - L2Reg,gradient,28.14289060799442
16,0,0.06723357737064362,Least squares - L2Reg,proximal point,2.7431047727179196
17,0,0.06723357737064362,Least squares - L2Reg,gradient,21.00236880836319
18,0,0.08531678467988968,Least squares - L2Reg,proximal point,2.704113025703322
19,0,0.08531678467988968,Least squares - L2Reg,gradient,14.478232964222878
20,0,0.10826367139816284,Least squares - L2Reg,proximal point,2.6237963079422224
21,0,0.10826367139816284,Least squares - L2Reg,gradient,9.687973368677497
22,0,0.137382373213768,Least squares - L2Reg,proximal point,2.599214986033667
23,0,0.137382373213768,Least squares - L2Reg,gradient,6.091250075414777
24,0,0.1743328869342804,Least squares - L2Reg,proximal point,2.5639419618318855
25,0,0.1743328869342804,Least squares - L2Reg,gradient,4.372468356052041
26,0,0.22122162580490112,Least squares - L2Reg,proximal point,2.566989332911987
27,0,0.22122162580490112,Least squares - L2Reg,gradient,3.6204397429347037
28,0,0.28072163462638855,Least squares - L2Reg,proximal point,2.5704551195070304
29,0,0.28072163462638855,Least squares - L2Reg,gradient,3.906659809863567
30,0,0.35622477531433105,Least squares - L2Reg,proximal point,2.598655705824026
31,0,0.35622477531433105,Least squares - L2Reg,gradient,5.677144157275557
32,0,0.4520353674888611,Least squares - L2Reg,proximal point,2.622744133116266
33,0,0.4520353674888611,Least squares - L2Reg,gradient,3323.3435339832427
34,0,0.5736152529716492,Least squares - L2Reg,proximal point,2.683273410463629
35,0,0.5736152529716492,Least squares - L2Reg,gradient,701425492.625475
36,0,0.7278953790664673,Least squares - L2Reg,proximal point,2.782107248639304
37,0,0.7278953790664673,Least squares - L2Reg,gradient,6.769775803887888e+25
38,0,0.9236708283424377,Least squares - L2Reg,proximal point,2.934446156073884
39,0,0.9236708283424377,Least squares - L2Reg,gradient,inf
40,0,1.1721023321151733,Least squares - L2Reg,proximal point,
41,0,1.1721023321151733,Least squares - L2Reg,gradient,
42,0,1.4873521327972412,Least squares - L2Reg,proximal point,
43,0,1.4873521327972412,Least squares - L2Reg,gradient,
44,0,1.8873918056488037,Least squares - L2Reg,proximal point,
45,0,1.8873918056488037,Least squares - L2Reg,gradient,
46,0,2.395026683807373,Least squares - L2Reg,proximal point,
47,0,2.395026683807373,Least squares - L2Reg,gradient,
