,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time,batch_size
0,0,1000,5000,Least squares,0.2137316730000003,0.12274039199999986,8
1,0,1000,5000,Least squares,0.09169304200000017,0.0680853560000001,16
2,0,1000,5000,Least squares,0.058278681,0.042417139999999964,32
3,0,1000,5000,Logistic regression,2.7382210149999997,0.121054086,8
4,0,1000,5000,Logistic regression,1.356774487,0.06641162299999959,16
5,0,1000,5000,Logistic regression,0.6903946190000001,0.04314661799999975,32
6,0,1000,10000,Least squares,0.3176579559999997,0.2325062960000004,8
7,0,1000,10000,Least squares,0.183445214999999,0.13194930799999938,16
8,0,1000,10000,Least squares,0.12416486100000057,0.08835615899999993,32
9,0,1000,10000,Logistic regression,5.401829135,0.2413716439999991,8
10,0,1000,10000,Logistic regression,2.7371887039999994,0.13376975800000324,16
11,0,1000,10000,Logistic regression,1.4243783380000004,0.08225172500000255,32
12,0,1000,15000,Least squares,0.47600785499999887,0.35305358200000114,8
13,0,1000,15000,Least squares,0.27225261199999906,0.21077434899999758,16
14,0,1000,15000,Least squares,0.17574070499999905,0.12909543600000006,32
15,0,1000,15000,Logistic regression,8.111081544999998,0.38515925199999757,8
16,0,1000,15000,Logistic regression,4.148679590999997,0.19961520200000393,16
17,0,1000,15000,Logistic regression,2.0814596900000026,0.1307424889999993,32
18,0,1000,20000,Least squares,0.6298039909999957,0.46440131699999654,8
19,0,1000,20000,Least squares,0.3577208569999968,0.273817918000006,16
20,0,1000,20000,Least squares,0.2353499009999993,0.1732898380000023,32
21,0,1000,20000,Logistic regression,10.880065717,0.4713388010000017,8
22,0,1000,20000,Logistic regression,5.396089780000004,0.2664034390000012,16
23,0,1000,20000,Logistic regression,2.776420834999996,0.1772462019999992,32
24,0,1000,25000,Least squares,0.7901032879999974,0.5875280849999953,8
25,0,1000,25000,Least squares,0.4598406889999964,0.3291574790000027,16
26,0,1000,25000,Least squares,0.287991734000002,0.21934628700000047,32
27,0,1000,25000,Logistic regression,14.045734849000006,0.6056460079999937,8
28,0,1000,25000,Logistic regression,6.883120320000003,0.3396248180000043,16
29,0,1000,25000,Logistic regression,3.456022982999997,0.21595465900000477,32
30,0,1000,30000,Least squares,0.9814544249999955,0.7312122519999917,8
31,0,1000,30000,Least squares,0.5355685180000052,0.3989600670000044,16
32,0,1000,30000,Least squares,0.35602293099999827,0.259208086000001,32
33,0,1000,30000,Logistic regression,18.91795520000001,0.7689846520000003,8
34,0,1000,30000,Logistic regression,9.057058936000004,0.4006434169999977,16
35,0,1000,30000,Logistic regression,4.2438149649999986,0.2570221040000007,32
36,0,3000,5000,Least squares,0.17313599400000612,0.12428377799999168,8
37,0,3000,5000,Least squares,0.112628971999996,0.07715004599999986,16
38,0,3000,5000,Least squares,0.08393457700000795,0.04825681900000234,32
39,0,3000,5000,Logistic regression,2.839383190999996,0.12358993399999463,8
40,0,3000,5000,Logistic regression,1.4885350289999906,0.07482632899998976,16
41,0,3000,5000,Logistic regression,0.7819736259999956,0.04840899199999171,32
42,0,3000,10000,Least squares,0.34029377600001,0.2489268530000004,8
43,0,3000,10000,Least squares,0.23285297199998922,0.14724092900002006,16
44,0,3000,10000,Least squares,0.15901724599999056,0.10074505699998326,32
45,0,3000,10000,Logistic regression,5.700578645999997,0.2631379610000124,8
46,0,3000,10000,Logistic regression,3.383298744000001,0.15448881800000436,16
47,0,3000,10000,Logistic regression,1.6160393909999868,0.10322906299998635,32
48,0,3000,15000,Least squares,0.5102345359999845,0.37680197500000645,8
49,0,3000,15000,Least squares,0.3500256770000192,0.2701527079999835,16
50,0,3000,15000,Least squares,0.2547041640000032,0.19142360399999347,32
51,0,3000,15000,Logistic regression,8.711549916999985,0.40644492100000207,8
52,0,3000,15000,Logistic regression,4.957941063999982,0.30442555400000515,16
53,0,3000,15000,Logistic regression,3.4327119079999875,0.1643155820000004,32
54,0,3000,20000,Least squares,0.818278547999995,0.5277261109999927,8
55,0,3000,20000,Least squares,0.5094836070000213,0.32202233000001,16
56,0,3000,20000,Least squares,0.3284541990000207,0.20389284000000885,32
57,0,3000,20000,Logistic regression,12.853915168000015,0.5661389169999893,8
58,0,3000,20000,Logistic regression,7.100911701000001,0.3703790379999816,16
59,0,3000,20000,Logistic regression,3.2832488619999936,0.22032314800000563,32
60,0,3000,25000,Least squares,0.859879860999996,0.6714510079999911,8
61,0,3000,25000,Least squares,0.5980991579999966,0.4005611720000104,16
62,0,3000,25000,Least squares,0.3881896309999888,0.24023311199999853,32
63,0,3000,25000,Logistic regression,17.634171553000016,0.6916279570000086,8
64,0,3000,25000,Logistic regression,9.194770232999986,0.43052697499999226,16
65,0,3000,25000,Logistic regression,4.279808067000005,0.3121904289999975,32
66,0,3000,30000,Least squares,1.1653223599999762,0.9091897920000065,8
67,0,3000,30000,Least squares,0.7209972920000212,0.4694065950000095,16
68,0,3000,30000,Least squares,0.48207393000001275,0.29890053100001523,32
69,0,3000,30000,Logistic regression,20.189245150999994,0.8174380190000079,8
70,0,3000,30000,Logistic regression,9.387166302000026,0.445221819999972,16
71,0,3000,30000,Logistic regression,4.570328845000006,0.3201010679999854,32
72,0,6000,5000,Least squares,0.20452001899997185,0.13402488399998447,8
73,0,6000,5000,Least squares,0.1323573139999894,0.08279248200000211,16
74,0,6000,5000,Least squares,0.10691389400000162,0.05602543300000207,32
75,0,6000,5000,Logistic regression,3.4246277629999895,0.14642693199999712,8
76,0,6000,5000,Logistic regression,1.9038217920000307,0.11092030899999372,16
77,0,6000,5000,Logistic regression,1.0096522839999693,0.056302748999996766,32
