,experiment,algorithm,step size,loss
55,0,SGD,41.011270705513,1.8484545264820762
56,0,proximal point,51.248058769609315,0.02081690119967075
57,0,SGD,51.248058769609315,5.718924791222709e+18
58,0,proximal point,64.04004271197276,0.02071250787956878
59,0,SGD,64.04004271197276,inf
60,0,proximal point,80.02502278161052,0.02064957414952885
61,0,SGD,80.02502278161052,
62,0,proximal point,100.0,0.02060323785094066
63,0,SGD,100.0,
64,0,proximal point,114.37171936035156,0.020576530918173616
65,0,SGD,114.37171936035156,
66,1,proximal point,0.1,0.0222578003078079
67,1,SGD,0.1,0.02225780105931299
68,1,proximal point,0.1249609141291987,0.022257800297694245
69,1,SGD,0.1249609141291987,0.02225780105960239
70,1,proximal point,0.15615230060004973,0.02225780028484361
71,1,SGD,0.15615230060004973,0.022257801059545272
72,1,proximal point,0.19512934226359632,0.022257800268469432
73,1,SGD,0.19512934226359632,0.022257801059634222
74,1,proximal point,0.24383540982688284,0.022257800247487282
75,1,SGD,0.24383540982688284,0.02225780105867798
76,1,proximal point,0.30469895709035083,0.02225780022043276
77,1,SGD,0.30469895709035083,0.022257801056917378
78,1,proximal point,0.3807546021222372,0.022257800185271338
79,1,SGD,0.3807546021222372,0.022257801053935145
80,1,proximal point,0.475794431400941,0.02225780013911191
81,1,SGD,0.475794431400941,0.022257801051975
82,1,proximal point,0.5945570708544391,0.022257800077758662
83,1,SGD,0.5945570708544391,0.02225780104909536
84,1,proximal point,0.7429639507594948,0.02225779999492901
85,1,SGD,0.7429639507594948,0.02225780104390069
86,1,proximal point,0.9284145445194745,0.022257799880850766
87,1,SGD,0.9284145445194745,0.022257801038654906
88,1,proximal point,1.1601553017399715,0.022257799719762862
89,1,SGD,1.1601553017399715,0.022257801013160678
90,1,proximal point,1.4497406703726314,0.022257799485001905
91,1,SGD,1.4497406703726314,0.022257800970710194
92,1,proximal point,1.8116091942004142,0.022257799128877123
93,1,SGD,1.8116091942004142,0.022257800854699417
94,1,proximal point,2.2638034095214477,0.02225779856048054
95,1,SGD,2.2638034095214477,0.02225780041591206
96,1,proximal point,2.8288694346259695,0.02225780098719753
97,1,SGD,2.8288694346259695,0.022257781085597707
98,1,proximal point,3.5349811050301057,0.022257799975747106
99,1,SGD,3.5349811050301057,0.022256641638136353
100,1,proximal point,4.417344703140069,0.022257800862866477
101,1,SGD,4.417344703140069,0.022217829950536363
102,1,proximal point,5.5199543212815705,0.02225780067769837
103,1,SGD,5.5199543212815705,0.02143840512764691
104,1,proximal point,6.8977853793876545,0.022257800188208658
105,1,SGD,6.8977853793876545,0.020948026139618197
106,1,proximal point,8.619535664753032,0.022257798592345873
107,1,SGD,8.619535664753032,0.020733652001902372
108,1,proximal point,10.77105056036769,0.02225779180005707
109,1,SGD,10.77105056036769,0.02063025549274171
