,repetition,step size,type,algorithm,loss
105,0,4.8939008712768555,Least squares,gradient,
106,0,4.8939008712768555,Logistic regression,proximal point,0.1257338090263045
107,0,4.8939008712768555,Logistic regression,gradient,2.527891916622946
108,0,6.210169315338135,Least squares,proximal point,4.4072347114461605
109,0,6.210169315338135,Least squares,gradient,
110,0,6.210169315338135,Logistic regression,proximal point,0.12483298990302576
111,0,6.210169315338135,Logistic regression,gradient,4.107945013095358
112,0,7.880462646484375,Least squares,proximal point,4.407437984888196
113,0,7.880462646484375,Least squares,gradient,
114,0,7.880462646484375,Logistic regression,proximal point,0.12448538232022638
115,0,7.880462646484375,Logistic regression,gradient,6.7202104130003075
116,0,10.0,Least squares,proximal point,4.407707311802652
117,0,10.0,Least squares,gradient,
118,0,10.0,Logistic regression,proximal point,0.12463219063918332
119,0,10.0,Logistic regression,gradient,10.777086693727824
120,1,0.009999999776482582,Least squares,proximal point,60.36034258046333
121,1,0.009999999776482582,Least squares,gradient,421.49937399136945
122,1,0.009999999776482582,Logistic regression,proximal point,0.5454204789043354
123,1,0.009999999776482582,Logistic regression,gradient,0.6910951017796994
124,1,0.01268961001187563,Least squares,proximal point,43.29923317856807
125,1,0.01268961001187563,Least squares,gradient,414.62794587048904
126,1,0.01268961001187563,Logistic regression,proximal point,0.520032530923271
127,1,0.01268961001187563,Logistic regression,gradient,0.6898504141747952
128,1,0.016102619469165802,Least squares,proximal point,31.185845803789423
129,1,0.016102619469165802,Least squares,gradient,404.7022377355296
130,1,0.016102619469165802,Logistic regression,proximal point,0.49367685420968294
131,1,0.016102619469165802,Logistic regression,gradient,0.6878304347157478
132,1,0.020433597266674042,Least squares,proximal point,22.43537843508845
133,1,0.020433597266674042,Least squares,gradient,388.4624965657145
134,1,0.020433597266674042,Logistic regression,proximal point,0.4653802390095428
135,1,0.020433597266674042,Logistic regression,gradient,0.684637980312109
136,1,0.025929437950253487,Least squares,proximal point,16.565124223616166
137,1,0.025929437950253487,Least squares,gradient,363.8779816520933
138,1,0.025929437950253487,Logistic regression,proximal point,0.4364820217784686
139,1,0.025929437950253487,Logistic regression,gradient,0.6795787818014621
140,1,0.03290344402194023,Least squares,proximal point,12.659559262326109
141,1,0.03290344402194023,Least squares,gradient,328.00762895846674
142,1,0.03290344402194023,Logistic regression,proximal point,0.4075937450155609
143,1,0.03290344402194023,Logistic regression,gradient,0.6716384055197239
144,1,0.04175318777561188,Least squares,proximal point,10.048034133935108
