,repetition,step size,batch size,type,algorithm,loss
33,0,0.04893900826573372,16,Least squares,gradient,23.144898609542846
34,0,0.04893900826573372,32,Least squares,proximal point,2.464814535236359
35,0,0.04893900826573372,32,Least squares,gradient,12.21651485748291
36,0,0.06723357737064362,8,Least squares,proximal point,2.0971495682356878
37,0,0.06723357737064362,8,Least squares,gradient,36.09642030639648
38,0,0.06723357737064362,16,Least squares,proximal point,1.9044835158467293
39,0,0.06723357737064362,16,Least squares,gradient,20.405622116088868
40,0,0.06723357737064362,32,Least squares,proximal point,1.5577710371494293
41,0,0.06723357737064362,32,Least squares,gradient,11.139628755187989
42,0,0.09236708283424377,8,Least squares,proximal point,1.5496456347655505
43,0,0.09236708283424377,8,Least squares,gradient,26.14645071401596
44,0,0.09236708283424377,16,Least squares,proximal point,1.1364809936705977
45,0,0.09236708283424377,16,Least squares,gradient,15.767281757354736
46,0,0.09236708283424377,32,Least squares,proximal point,1.0475349509239196
47,0,0.09236708283424377,32,Least squares,gradient,9.441954943084717
48,0,0.12689609825611115,8,Least squares,proximal point,1.1211929282061988
49,0,0.12689609825611115,8,Least squares,gradient,14.596375376844406
50,0,0.12689609825611115,16,Least squares,proximal point,0.8660117229177616
51,0,0.12689609825611115,16,Least squares,gradient,10.521610723304748
52,0,0.12689609825611115,32,Least squares,proximal point,0.6661896600157022
53,0,0.12689609825611115,32,Least squares,gradient,6.942807883453369
54,0,0.1743328869342804,8,Least squares,proximal point,0.9277352625661297
55,0,0.1743328869342804,8,Least squares,gradient,6.407102775907516
56,0,0.1743328869342804,16,Least squares,proximal point,0.5914131557320245
57,0,0.1743328869342804,16,Least squares,gradient,4.979651050281524
58,0,0.1743328869342804,32,Least squares,proximal point,0.48153593162950126
59,0,0.1743328869342804,32,Least squares,gradient,4.16249926700592
60,0,0.2395026683807373,8,Least squares,proximal point,0.7792042401826474
61,0,0.2395026683807373,8,Least squares,gradient,2.335339942198992
62,0,0.2395026683807373,16,Least squares,proximal point,0.5021539334868081
63,0,0.2395026683807373,16,Least squares,gradient,2.056098884764314
64,0,0.2395026683807373,32,Least squares,proximal point,0.34738286774847654
65,0,0.2395026683807373,32,Least squares,gradient,1.8429781227111817
66,0,0.3290344476699829,8,Least squares,proximal point,0.6925696113256621
67,0,0.3290344476699829,8,Least squares,gradient,1.0476703913816716
68,0,0.3290344476699829,16,Least squares,proximal point,0.39810347421849146
69,0,0.3290344476699829,16,Least squares,gradient,0.7215436914606951
70,0,0.3290344476699829,32,Least squares,proximal point,0.2768669434200972
71,0,0.3290344476699829,32,Least squares,gradient,0.7168055237799883
72,0,0.4520353674888611,8,Least squares,proximal point,0.6450051159257302
73,0,0.4520353674888611,8,Least squares,gradient,0.8471061554663815
74,0,0.4520353674888611,16,Least squares,proximal point,0.3645201096073724
75,0,0.4520353674888611,16,Least squares,gradient,0.4271335306934081
76,0,0.4520353674888611,32,Least squares,proximal point,0.23008545696334914
77,0,0.4520353674888611,32,Least squares,gradient,0.29935534449052065
78,0,0.6210169196128845,8,Least squares,proximal point,0.5978384935208131
79,0,0.6210169196128845,8,Least squares,gradient,4.880074995877606
80,0,0.6210169196128845,16,Least squares,proximal point,0.3219850645312108
81,0,0.6210169196128845,16,Least squares,gradient,0.5830276423525065
82,0,0.6210169196128845,32,Least squares,proximal point,0.1949838436995633
83,0,0.6210169196128845,32,Least squares,gradient,0.2112980435420759
84,0,0.8531678318977356,8,Least squares,proximal point,0.5894013087497093
85,0,0.8531678318977356,8,Least squares,gradient,16194.789393392519
86,0,0.8531678318977356,16,Least squares,proximal point,0.30758719164486975
87,0,0.8531678318977356,16,Least squares,gradient,6.785627323609032
88,0,0.8531678318977356,32,Least squares,proximal point,0.18127888171803205
89,0,0.8531678318977356,32,Least squares,gradient,0.5204683668483049
90,0,1.1721023321151733,8,Least squares,proximal point,0.5601367769693024
