,experiment,dim,num_of_samples,prox_pt_time,sgd_time,sgd_batch_size
0,0,1000,500,1.5821854700000006,0.2399303659999994,1
1,0,1000,500,1.5932495109999998,0.03454945899999995,16
2,0,1000,500,1.5855266630000004,0.03603990699999926,32
3,0,1000,1000,3.6725719870000004,0.427846280999999,1
4,0,1000,1000,3.5298619,0.03682233600000018,16
5,0,1000,1000,3.581839488,0.021988258999999566,32
6,0,1000,1000,3.5255488779999995,0.4427433779999994,1
7,0,1000,1000,3.537692056,0.036347777999999664,16
8,0,1000,1000,3.5486208230000003,0.024527913000000012,32
9,0,1000,2000,6.763821448999999,0.9730214900000007,1
10,0,1000,2000,6.848251791,0.08091858500000093,16
11,0,1000,2000,6.728334637000001,0.048609024000001,32
12,0,1000,2500,8.708651725,1.244839670000001,1
13,0,1000,2500,8.597792613,0.10090530699999967,16
14,0,1000,2500,8.643616039,0.062018097999999355,32
15,0,1000,3000,10.573440312999999,1.4585337399999982,1
16,0,1000,3000,10.445836067999998,0.12348555099999814,16
17,0,1000,3000,10.365551227000001,0.07315923300000193,32
18,0,3000,500,1.64028918,0.216877459,1
19,0,3000,500,1.6556772789999998,0.020460809000001134,16
20,0,3000,500,1.659257037999999,0.017345317000000193,32
21,0,3000,1000,3.3207058710000004,0.4912130210000001,1
22,0,3000,1000,3.314191191,0.04501648500000144,16
23,0,3000,1000,3.311072406000001,0.03402708700000012,32
24,0,3000,1000,3.358994698,0.5125057450000003,1
25,0,3000,1000,3.3442836049999993,0.04673391700000096,16
26,0,3000,1000,3.583969271999999,0.026987473999998457,32
27,0,3000,2000,7.413219638000001,1.0068343770000006,1
28,0,3000,2000,7.571608201,0.0819543980000006,16
29,0,3000,2000,7.673216024,0.09965452400000174,32
30,0,3000,2500,10.150137753000001,1.1207076530000002,1
31,0,3000,2500,9.987463437999999,0.10339345899999941,16
32,0,3000,2500,10.096412345,0.06797062999999781,32
33,0,3000,3000,11.542923449999998,1.0704442429999972,1
34,0,3000,3000,11.434528246000001,0.1004184230000007,16
35,0,3000,3000,11.449715550000002,0.054830648999999454,32
36,0,6000,500,1.996081998000001,0.2584641879999996,1
37,0,6000,500,1.9647811270000002,0.029203483999999946,16
38,0,6000,500,1.969496564,0.020837273999999795,32
39,0,6000,1000,3.888933850999999,0.4924512639999996,1
40,0,6000,1000,3.869775127999999,0.07782091999999707,16
41,0,6000,1000,3.9097453559999984,0.04306349100000162,32
42,0,6000,1000,3.9611044559999993,0.9281502719999999,1
43,0,6000,1000,4.417863376,0.05786209400000075,16
44,0,6000,1000,4.4885535879999985,0.03144676700000204,32
45,0,6000,2000,7.578806343,0.6623976829999982,1
46,0,6000,2000,6.835038568000002,0.055658063999999285,16
47,0,6000,2000,6.555585491999999,0.03197204499999984,32
48,0,6000,2500,7.216446680000001,0.6456138610000011,1
49,0,6000,2500,7.140047201999998,0.059330118000001875,16
50,0,6000,2500,7.046947846999998,0.039007335000000865,32
51,0,6000,3000,7.6349309860000005,0.7446571399999975,1
52,0,6000,3000,7.091655617000001,0.07331007700000214,16
53,0,6000,3000,6.750982466,0.04874695399999851,32
54,1,1000,500,1.6626958320000007,0.22363913099999877,1
55,1,1000,500,1.6727801449999973,0.0187230420000013,16
56,1,1000,500,1.689042169999997,0.011476489999999728,32
57,1,1000,1000,3.377694537,0.4852725100000015,1
58,1,1000,1000,3.3891218810000012,0.03920015599999971,16
59,1,1000,1000,3.3894122770000017,0.020985224000000358,32
60,1,1000,1000,3.3565043640000027,0.486998658000001,1
61,1,1000,1000,3.356431177000001,0.037769677,16
62,1,1000,1000,3.407169777,0.02554243499999842,32
63,1,1000,2000,7.265076933,1.0588107019999953,1
