,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time,batch_size
0,0,1000,5000,Least squares,0.07887,0.7663421250000002,1
1,0,1000,5000,Least squares,0.0603719159999998,0.0346929170000001,16
2,0,1000,5000,Least squares,0.05850875000000011,0.024081958000000014,32
3,0,1000,5000,Logistic regression,0.06801520900000035,0.3977608749999999,1
4,0,1000,5000,Logistic regression,0.06815874999999982,0.03522220799999998,16
5,0,1000,5000,Logistic regression,0.06805195799999986,0.025027083999999977,32
6,0,1000,10000,Least squares,0.12022858300000028,0.7358402909999997,1
7,0,1000,10000,Least squares,0.1199964170000003,0.06803716699999995,16
8,0,1000,10000,Least squares,0.1263367080000002,0.04829191700000024,32
9,0,1000,10000,Logistic regression,0.14052204199999974,0.7831884169999999,1
10,0,1000,10000,Logistic regression,0.13783716699999982,0.07199241599999961,16
11,0,1000,10000,Logistic regression,0.13669095799999997,0.04844629099999942,32
12,0,1000,15000,Least squares,0.17814216700000074,1.128598792,1
13,0,1000,15000,Least squares,0.17898158299999967,0.10170929100000059,16
14,0,1000,15000,Least squares,0.1762118750000008,0.0709335840000005,32
15,0,1000,15000,Logistic regression,0.21632087500000097,1.1816832910000006,1
16,0,1000,15000,Logistic regression,0.21138866700000136,0.10750349999999997,16
17,0,1000,15000,Logistic regression,0.20894591599999934,0.07168979100000072,32
18,0,1000,20000,Least squares,0.23751512499999983,1.4848872499999999,1
19,0,1000,20000,Least squares,0.2369077500000003,0.13557704199999954,16
20,0,1000,20000,Least squares,0.235056084,0.0950965410000002,32
21,0,1000,20000,Logistic regression,0.28098670800000036,1.5785475840000007,1
22,0,1000,20000,Logistic regression,0.2776268330000011,0.1417787500000003,16
23,0,1000,20000,Logistic regression,0.2794237089999996,0.09633079099999975,32
24,0,1000,25000,Least squares,0.3010029999999997,1.8339621249999993,1
25,0,1000,25000,Least squares,0.29307908300000207,0.167881916999999,16
26,0,1000,25000,Least squares,0.2922610409999997,0.11420291700000007,32
27,0,1000,25000,Logistic regression,0.3480407079999992,1.9561436249999993,1
28,0,1000,25000,Logistic regression,0.35148591600000145,0.17726070899999868,16
29,0,1000,25000,Logistic regression,0.3429588329999973,0.12116791699999752,32
30,0,1000,30000,Least squares,0.3604912920000025,2.211517292,1
31,0,1000,30000,Least squares,0.371485167000003,0.20591137499999945,16
32,0,1000,30000,Least squares,0.3678342079999979,0.13702341600000167,32
33,0,1000,30000,Logistic regression,0.4248845420000009,2.3593737909999994,1
34,0,1000,30000,Logistic regression,0.41644662499999896,0.21206441600000048,16
35,0,1000,30000,Logistic regression,0.4173852079999989,0.14384058299999936,32
36,0,3000,5000,Least squares,0.07976495799999839,0.38077970800000216,1
37,0,3000,5000,Least squares,0.07422283300000032,0.039004500000000775,16
38,0,3000,5000,Least squares,0.07465320800000086,0.026322540999998978,32
39,0,3000,5000,Logistic regression,0.09732633399999813,0.4041847500000024,1
40,0,3000,5000,Logistic regression,0.10024508300000079,0.04126358300000277,16
41,0,3000,5000,Logistic regression,0.09726929200000001,0.026477792000001443,32
42,0,3000,10000,Least squares,0.14967041700000294,0.7555817080000011,1
43,0,3000,10000,Least squares,0.15091008299999942,0.07600304099999988,16
44,0,3000,10000,Least squares,0.15132058400000403,0.049598750000001246,32
45,0,3000,10000,Logistic regression,0.1882913750000057,0.8102397920000044,1
46,0,3000,10000,Logistic regression,0.1907914169999998,0.07977241599999729,16
47,0,3000,10000,Logistic regression,0.20080987499999736,0.05139641599999578,32
48,0,3000,15000,Least squares,0.22409862499999633,1.1363921250000004,1
49,0,3000,15000,Least squares,0.22846312499999755,0.11656812500000058,16
50,0,3000,15000,Least squares,0.22992308300000275,0.07387795799999708,32
51,0,3000,15000,Logistic regression,0.2926515839999979,1.2141524160000046,1
52,0,3000,15000,Logistic regression,0.296149333999999,0.11974500000000177,16
53,0,3000,15000,Logistic regression,0.29677362500000015,0.07785929199999941,32
54,0,3000,20000,Least squares,0.3091466250000039,1.5287856249999976,1
55,0,3000,20000,Least squares,0.3035951250000011,0.15180095899999912,16
56,0,3000,20000,Least squares,0.29632912499999975,0.10028041700000045,32
57,0,3000,20000,Logistic regression,0.3830530410000037,1.5734874999999988,1
58,0,3000,20000,Logistic regression,0.38222616600000237,0.16172562500000254,16
59,0,3000,20000,Logistic regression,0.38066470900000127,0.10081733300000195,32
60,0,3000,25000,Least squares,0.3691614170000008,1.8657071250000001,1
61,0,3000,25000,Least squares,0.3679793340000046,0.1908625000000015,16
62,0,3000,25000,Least squares,0.37513016599999816,0.12495233300000308,32
63,0,3000,25000,Logistic regression,0.5006269169999982,2.0286046670000033,1
64,0,3000,25000,Logistic regression,0.49078512500000215,0.19868095799999708,16
65,0,3000,25000,Logistic regression,0.48299233299999855,0.12705012499999668,32
66,0,3000,30000,Least squares,0.4449365000000043,2.2443687909999994,1
67,0,3000,30000,Least squares,0.44200920800000176,0.2287052500000044,16
68,0,3000,30000,Least squares,0.44050508400000155,0.14762666600000074,32
69,0,3000,30000,Logistic regression,0.5702952080000045,2.394925291,1
70,0,3000,30000,Logistic regression,0.5641666249999986,0.23797087500000202,16
71,0,3000,30000,Logistic regression,0.5659146659999976,0.1532083750000055,32
72,0,6000,5000,Least squares,0.08262425000000917,0.3857912920000075,1
73,0,6000,5000,Least squares,0.08379924999999844,0.03915741699999842,16
74,0,6000,5000,Least squares,0.0842384579999873,0.026280415999991646,32
75,0,6000,5000,Logistic regression,0.10479291699999749,0.4100937500000015,1
76,0,6000,5000,Logistic regression,0.10536087500000235,0.04117579200000421,16
77,0,6000,5000,Logistic regression,0.10581745899999362,0.027133915999996816,32
78,0,6000,10000,Least squares,0.17251266700000656,0.8011907500000035,1
79,0,6000,10000,Least squares,0.1735968750000012,0.07854125000000067,16
80,0,6000,10000,Least squares,0.17270016699998791,0.0523490419999888,32
81,0,6000,10000,Logistic regression,0.21512554199999556,0.8484937500000029,1
82,0,6000,10000,Logistic regression,0.21693795899999202,0.08147474999999815,16
83,0,6000,10000,Logistic regression,0.21616058300000418,0.05466933300000676,32
84,0,6000,15000,Least squares,0.25957291699999985,1.1879925000000071,1
85,0,6000,15000,Least squares,0.25028416600000014,0.11982304199999305,16
86,0,6000,15000,Least squares,0.25326941599999486,0.07847937500000057,32
87,0,6000,15000,Logistic regression,0.3180517499999951,1.247899832999991,1
88,0,6000,15000,Logistic regression,0.3191487919999929,0.12357799999999486,16
89,0,6000,15000,Logistic regression,0.32251016699999013,0.07997354100000109,32
90,0,6000,20000,Least squares,0.3365832079999933,1.5552248340000006,1
91,0,6000,20000,Least squares,0.34172616700000447,0.15456016699999964,16
92,0,6000,20000,Least squares,0.3428276249999982,0.10475295800000595,32
93,0,6000,20000,Logistic regression,0.42696800000000223,1.665966333,1
94,0,6000,20000,Logistic regression,0.42491937500000176,0.1643090419999993,16
95,0,6000,20000,Logistic regression,0.42568558299998926,0.10637470899999357,32
96,0,6000,25000,Least squares,0.41482270800000265,1.9469123749999966,1
97,0,6000,25000,Least squares,0.4160953749999976,0.19678716699999654,16
98,0,6000,25000,Least squares,0.42306825000000003,0.12879112499999223,32
99,0,6000,25000,Logistic regression,0.5288269159999999,2.0907524999999936,1
100,0,6000,25000,Logistic regression,0.5320409170000033,0.20490604200000462,16
101,0,6000,25000,Logistic regression,0.5305250419999936,0.13548741699999312,32
102,0,6000,30000,Least squares,0.5169274590000015,2.3485188749999963,1
103,0,6000,30000,Least squares,0.5092202919999949,0.23125950000000728,16
104,0,6000,30000,Least squares,0.5333872920000005,0.1581524169999966,32
105,0,6000,30000,Logistic regression,0.6414954999999907,2.48469424999999,1
106,0,6000,30000,Logistic regression,0.6439304590000035,0.2553984999999983,16
107,0,6000,30000,Logistic regression,0.6479951249999942,0.1625959169999902,32
108,1,1000,5000,Least squares,0.05762320799999543,0.3684562910000011,1
109,1,1000,5000,Least squares,0.05686137499999688,0.03434000000000026,16
110,1,1000,5000,Least squares,0.05722404200000142,0.023789167000003886,32
111,1,1000,5000,Logistic regression,0.0683601249999981,0.39424491699999464,1
