,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time,sgd_batch_size
0,0,1000,500,L2-LS,0.29017538600000004,0.13696034499999987,1
1,0,1000,500,L1-LS,0.6719206680000003,0.11334246500000011,1
2,0,1000,500,L2-LogReg,0.843047045,0.12395794599999999,1
3,0,1000,500,L1-LogReg,0.6042283469999994,0.1137875889999993,1
4,0,1000,500,L2-LS,0.2882325480000003,0.011611370000000232,16
5,0,1000,500,L1-LS,0.6718674630000003,0.011066061000000182,16
6,0,1000,500,L2-LogReg,0.8591704819999997,0.01074427,16
7,0,1000,500,L1-LogReg,0.6110996019999995,0.010101377999999883,16
8,0,1000,500,L2-LS,0.2855420519999998,0.007766696999999656,32
9,0,1000,500,L1-LS,0.6652215689999998,0.006923318999999761,32
10,0,1000,500,L2-LogReg,0.8425637100000003,0.006747041999999759,32
11,0,1000,500,L1-LogReg,0.6241800619999998,0.0075726139999998665,32
12,0,1000,1500,L2-LS,0.8156252670000002,0.35463939899999986,1
13,0,1000,1500,L1-LS,1.8472224350000004,0.32992007300000026,1
14,0,1000,1500,L2-LogReg,2.5677483060000013,0.3514044760000008,1
15,0,1000,1500,L1-LogReg,1.831533584999999,0.33496051099999846,1
16,0,1000,1500,L2-LS,0.8361742399999996,0.03369103600000001,16
17,0,1000,1500,L1-LS,1.9036131790000002,0.027171906000000412,16
18,0,1000,1500,L2-LogReg,2.5805150259999996,0.029045105999999876,16
19,0,1000,1500,L1-LogReg,1.8453994230000008,0.029344433000000336,16
20,0,1000,1500,L2-LS,0.841569883,0.019969163999999928,32
21,0,1000,1500,L1-LS,1.8882623430000005,0.01772594999999999,32
22,0,1000,1500,L2-LogReg,2.5835141629999994,0.017923258999999803,32
23,0,1000,1500,L1-LogReg,1.8400605170000004,0.018039347000000205,32
24,0,1000,2500,L2-LS,1.3548469769999998,0.5847854419999998,1
25,0,1000,2500,L1-LS,2.9371676669999998,0.5545868870000001,1
26,0,1000,2500,L2-LogReg,4.254159359000001,0.5910935810000009,1
27,0,1000,2500,L1-LogReg,3.1876647039999995,0.6034566670000014,1
28,0,1000,2500,L2-LS,1.3994749299999998,0.049195751000000065,16
29,0,1000,2500,L1-LS,2.9707914039999994,0.05005627999999973,16
30,0,1000,2500,L2-LogReg,4.3178942959999995,0.047961299999998985,16
31,0,1000,2500,L1-LogReg,3.1384071369999997,0.047780132999999836,16
32,0,1000,2500,L2-LS,1.3336553459999996,0.029585389000000184,32
33,0,1000,2500,L1-LS,3.0093648449999995,0.02961214400000145,32
34,0,1000,2500,L2-LogReg,4.370844282,0.02999987100000112,32
35,0,1000,2500,L1-LogReg,3.2486174230000024,0.03154769400000035,32
36,0,5000,500,L2-LS,0.29664770199999957,0.11932077500000027,1
37,0,5000,500,L1-LS,0.44539186299999933,0.12235854700000015,1
38,0,5000,500,L2-LogReg,1.0104885870000002,0.12323327000000006,1
39,0,5000,500,L1-LogReg,0.7669312079999999,0.1219583799999997,1
40,0,5000,500,L2-LS,0.29914585999999943,0.012828127000000578,16
41,0,5000,500,L1-LS,0.44715369900000024,0.01365370400000021,16
42,0,5000,500,L2-LogReg,1.0363270909999995,0.01255922300000023,16
43,0,5000,500,L1-LogReg,0.7443323380000004,0.012146914999999758,16
44,0,5000,500,L2-LS,0.29729921099999945,0.008163793999999669,32
45,0,5000,500,L1-LS,0.44323683699999883,0.007927562000000776,32
46,0,5000,500,L2-LogReg,0.9841218330000014,0.0075522879999994075,32
47,0,5000,500,L1-LogReg,0.7577366219999995,0.007800865000000101,32
48,0,5000,1500,L2-LS,0.8768930710000005,0.3621022920000012,1
49,0,5000,1500,L1-LS,2.0483647769999997,0.3621120050000002,1
50,0,5000,1500,L2-LogReg,3.0853038349999995,0.37520355699999897,1
51,0,5000,1500,L1-LogReg,2.337815245,0.39597091699999964,1
52,0,5000,1500,L2-LS,0.8959693729999998,0.03382815900000047,16
53,0,5000,1500,L1-LS,2.062081946000001,0.03789845000000014,16
54,0,5000,1500,L2-LogReg,3.091101599,0.045716336999999996,16
55,0,5000,1500,L1-LogReg,2.375735079,0.03811908100000139,16
56,0,5000,1500,L2-LS,0.8957833609999994,0.022167616000000834,32
57,0,5000,1500,L1-LS,2.070528456,0.02525687500000018,32
58,0,5000,1500,L2-LogReg,3.0611652850000013,0.024650339000000798,32
59,0,5000,1500,L1-LogReg,2.3818016439999994,0.02615590999999995,32
60,0,5000,2500,L2-LS,1.498840372,0.5941866420000004,1
61,0,5000,2500,L1-LS,4.087365963,0.6336183839999983,1
62,0,5000,2500,L2-LogReg,5.619100320000001,0.6346681310000015,1
63,0,5000,2500,L1-LogReg,3.9134296169999985,0.6554490120000018,1
64,0,5000,2500,L2-LS,1.450160631000001,0.05491721599999977,16
65,0,5000,2500,L1-LS,4.059752971,0.06040722000000187,16
66,0,5000,2500,L2-LogReg,5.523000501000002,0.06051963499999857,16
67,0,5000,2500,L1-LogReg,3.8575490689999974,0.05981274200000186,16
68,0,5000,2500,L2-LS,1.5048537489999987,0.03849291799999932,32
69,0,5000,2500,L1-LS,4.277991485000001,0.03951021499999996,32
70,0,5000,2500,L2-LogReg,5.294428802999999,0.044569975999998235,32
71,0,5000,2500,L1-LogReg,3.892793050999998,0.0371326190000012,32
72,0,10000,500,L2-LS,0.34874253399999944,0.13316725699999665,1
73,0,10000,500,L1-LS,0.5760230230000012,0.13700286699999964,1
74,0,10000,500,L2-LogReg,1.2062356419999993,0.14111035799999883,1
75,0,10000,500,L1-LogReg,1.0736930640000004,0.13737227000000019,1
76,0,10000,500,L2-LS,0.4761083169999978,0.013910007999999863,16
77,0,10000,500,L1-LS,0.6905222359999996,0.014620879999998948,16
78,0,10000,500,L2-LogReg,1.5188286260000012,0.01659039599999801,16
79,0,10000,500,L1-LogReg,1.1828241770000005,0.01504165399999735,16
80,0,10000,500,L2-LS,0.47321593999999934,0.011325885000001534,32
81,0,10000,500,L1-LS,0.6921360820000011,0.011050813000000659,32
82,0,10000,500,L2-LogReg,1.5372285880000014,0.01488937699999937,32
83,0,10000,500,L1-LogReg,1.2109905269999999,0.01111160199999972,32
84,0,10000,1500,L2-LS,1.365812340999998,0.40807639699999854,1
85,0,10000,1500,L1-LS,2.0233056110000014,0.39651365099999936,1
86,0,10000,1500,L2-LogReg,4.826043918,0.4060023579999985,1
87,0,10000,1500,L1-LogReg,3.4176438430000005,0.36252551800000177,1
88,0,10000,1500,L2-LS,1.1293621879999982,0.04152248399999792,16
89,0,10000,1500,L1-LS,2.10308796,0.041369727999999384,16
90,0,10000,1500,L2-LogReg,4.048343985999999,0.04485566700000021,16
91,0,10000,1500,L1-LogReg,3.3042811739999998,0.040553862999999524,16
92,0,10000,1500,L2-LS,1.0437866930000013,0.030808869000001238,32
93,0,10000,1500,L1-LS,1.842250350999997,0.02905360799999812,32
94,0,10000,1500,L2-LogReg,3.6430349249999985,0.034781351999999544,32
95,0,10000,1500,L1-LogReg,3.3460870609999986,0.025713285999998448,32
96,0,10000,2500,L2-LS,2.157313384000002,0.6511252720000016,1
97,0,10000,2500,L1-LS,3.4699246089999995,0.6713925399999994,1
98,0,10000,2500,L2-LogReg,6.163807291999998,0.5312331929999985,1
99,0,10000,2500,L1-LogReg,4.916123534999997,0.6086708490000063,1
100,0,10000,2500,L2-LS,2.545106477000001,0.06375392400000024,16
101,0,10000,2500,L1-LS,3.7920807630000013,0.06947609399999877,16
102,0,10000,2500,L2-LogReg,6.983267917000003,0.05715725600000354,16
103,0,10000,2500,L1-LogReg,5.687874717,0.05805827800000429,16
104,0,10000,2500,L2-LS,2.147341061999999,0.045427029000002506,32
105,0,10000,2500,L1-LS,3.0826758329999997,0.04573734299999899,32
106,0,10000,2500,L2-LogReg,5.768100771,0.044810191000003385,32
107,0,10000,2500,L1-LogReg,5.3185924129999975,0.037367234999997834,32
108,1,1000,500,L2-LS,0.29899347799999987,0.12075649500000196,1
109,1,1000,500,L1-LS,0.7040421760000015,0.11776567300000096,1
110,1,1000,500,L2-LogReg,0.9366427050000041,0.1713598700000034,1
111,1,1000,500,L1-LogReg,0.7488980940000047,0.12982948599999844,1
112,1,1000,500,L2-LS,0.29910462500000534,0.010435117000000105,16
113,1,1000,500,L1-LS,0.7067555610000014,0.010326794000000916,16
114,1,1000,500,L2-LogReg,0.9237844350000017,0.0122227960000032,16
115,1,1000,500,L1-LogReg,0.7858979049999988,0.013028354999995884,16
116,1,1000,500,L2-LS,0.29647371899999797,0.006240785000002802,32
117,1,1000,500,L1-LS,0.6911291500000019,0.006320485999999903,32
118,1,1000,500,L2-LogReg,0.9066708679999991,0.007947808000004386,32
119,1,1000,500,L1-LogReg,0.7627621869999999,0.008411696000003133,32
120,1,1000,1500,L2-LS,0.8812957560000001,0.36517447599999997,1
121,1,1000,1500,L1-LS,2.210529110000003,0.4080763910000016,1
122,1,1000,1500,L2-LogReg,2.7399835800000005,0.36038685800000536,1
123,1,1000,1500,L1-LogReg,2.3135930159999987,0.4481092720000035,1
124,1,1000,1500,L2-LS,0.8983475229999982,0.029370346999996855,16
125,1,1000,1500,L1-LS,2.1933110260000035,0.033976107000000866,16
126,1,1000,1500,L2-LogReg,2.901534481000006,0.03998436399999861,16
127,1,1000,1500,L1-LogReg,2.038868499000003,0.03402389099999681,16
128,1,1000,1500,L2-LS,0.8955221269999996,0.0191820490000012,32
129,1,1000,1500,L1-LS,2.193659881000002,0.022252498999996817,32
130,1,1000,1500,L2-LogReg,2.8550725690000007,0.02538544800000153,32
131,1,1000,1500,L1-LogReg,2.085880504000002,0.021696154000004242,32
132,1,1000,2500,L2-LS,1.4589496199999985,0.6554652169999997,1
133,1,1000,2500,L1-LS,3.4528830890000037,0.6709831420000043,1
134,1,1000,2500,L2-LogReg,5.439754594,0.7386067349999976,1
135,1,1000,2500,L1-LogReg,3.687767950999998,0.6718067850000011,1
136,1,1000,2500,L2-LS,1.4558931930000014,0.05259083600000025,16
137,1,1000,2500,L1-LS,3.485838018999999,0.04680417800000214,16
138,1,1000,2500,L2-LogReg,5.162589059999995,0.06245253600000211,16
139,1,1000,2500,L1-LogReg,3.8921099490000017,0.05962682199999847,16
140,1,1000,2500,L2-LS,1.525317231999999,0.03235498600000142,32
141,1,1000,2500,L1-LS,3.150469616999999,0.03292897500000436,32
142,1,1000,2500,L2-LogReg,5.554057106999998,0.03320464400000134,32
143,1,1000,2500,L1-LogReg,3.6042431280000002,0.034592129000003524,32
144,1,5000,500,L2-LS,0.34900089900000353,0.13072583799999649,1
145,1,5000,500,L1-LS,0.5387680380000006,0.12390762799999777,1
146,1,5000,500,L2-LogReg,1.0645075489999982,0.12266182100000123,1
147,1,5000,500,L1-LogReg,0.8625967899999978,0.1649822090000015,1
148,1,5000,500,L2-LS,0.35567031400000104,0.014216284999996276,16
149,1,5000,500,L1-LS,0.5123940040000008,0.016081371999995042,16
150,1,5000,500,L2-LogReg,1.0585797510000035,0.012636239999999077,16
151,1,5000,500,L1-LogReg,0.867272824000004,0.015290426999996498,16
152,1,5000,500,L2-LS,0.3014270860000039,0.007987053999997329,32
153,1,5000,500,L1-LS,0.44437689699999794,0.008006199000000436,32
154,1,5000,500,L2-LogReg,1.2002426849999992,0.010560262999995018,32
155,1,5000,500,L1-LogReg,0.9827897280000002,0.009370705000002033,32
156,1,5000,1500,L2-LS,0.9138415799999962,0.38144496000000316,1
157,1,5000,1500,L1-LS,2.693109833000001,0.4890008719999983,1
158,1,5000,1500,L2-LogReg,3.7127758680000014,0.39638343099999673,1
159,1,5000,1500,L1-LogReg,2.609387144000003,0.3999634740000033,1
160,1,5000,1500,L2-LS,1.1492274220000027,0.03890830399999601,16
161,1,5000,1500,L1-LS,2.7295025789999983,0.03634554299999593,16
162,1,5000,1500,L2-LogReg,3.5128153369999993,0.03559919600000683,16
163,1,5000,1500,L1-LogReg,2.515555343999999,0.03866252099999912,16
164,1,5000,1500,L2-LS,1.154405367999999,0.02992521900000611,32
165,1,5000,1500,L1-LS,2.7311671240000024,0.02311136300000527,32
166,1,5000,1500,L2-LogReg,3.5437482609999975,0.023901190999993105,32
167,1,5000,1500,L1-LogReg,2.5551655279999963,0.02801101599999356,32
168,1,5000,2500,L2-LS,2.0126959129999946,0.793770932000001,1
169,1,5000,2500,L1-LS,4.606036451999998,0.713913079000001,1
170,1,5000,2500,L2-LogReg,5.851586554999997,0.6905696080000041,1
171,1,5000,2500,L1-LogReg,4.363081573999992,0.7249631629999982,1
172,1,5000,2500,L2-LS,1.9695156000000011,0.08133884899999799,16
173,1,5000,2500,L1-LS,4.540196159000004,0.05916242700000396,16
174,1,5000,2500,L2-LogReg,5.733010917000001,0.06418480799999315,16
175,1,5000,2500,L1-LogReg,4.078945310000009,0.07665570000000343,16
176,1,5000,2500,L2-LS,1.644936860999998,0.03778377099999375,32
177,1,5000,2500,L1-LS,4.523743713000002,0.041999672999999405,32
178,1,5000,2500,L2-LogReg,5.661735902000004,0.05415542000000073,32
179,1,5000,2500,L1-LogReg,4.425458937000002,0.038358936000008725,32
180,1,10000,500,L2-LS,0.47782313099999385,0.13484174399999915,1
181,1,10000,500,L1-LS,0.6889636220000028,0.1353412809999952,1
182,1,10000,500,L2-LogReg,1.3664722050000009,0.15512604899999616,1
183,1,10000,500,L1-LogReg,1.1698736069999995,0.14630346199999877,1
184,1,10000,500,L2-LS,0.5546494109999998,0.015161020000000747,16
185,1,10000,500,L1-LS,0.7957989780000005,0.015812697999997738,16
186,1,10000,500,L2-LogReg,1.7138878140000031,0.01830911799999768,16
187,1,10000,500,L1-LogReg,1.3123497509999993,0.016194206999998073,16
188,1,10000,500,L2-LS,0.4924238949999946,0.009783923000000527,32
189,1,10000,500,L1-LS,0.8728323800000055,0.010290653999994959,32
190,1,10000,500,L2-LogReg,1.818969003999996,0.010460085000005392,32
191,1,10000,500,L1-LogReg,1.3871204570000089,0.01046566000000837,32
192,1,10000,1500,L2-LS,1.6690922549999954,0.41653667799999994,1
193,1,10000,1500,L1-LS,2.5993902009999914,0.40540116799999737,1
194,1,10000,1500,L2-LogReg,5.484539131000005,0.4202652729999983,1
195,1,10000,1500,L1-LogReg,3.9578666329999947,0.3727164820000013,1
196,1,10000,1500,L2-LS,1.6785619520000026,0.04377416399999845,16
197,1,10000,1500,L1-LS,2.2077142139999992,0.04737964800000327,16
198,1,10000,1500,L2-LogReg,5.939115741000009,0.05000374200000124,16
199,1,10000,1500,L1-LogReg,4.494894994999996,0.04250679000000446,16
200,1,10000,1500,L2-LS,1.228684696000002,0.03367224400000168,32
201,1,10000,1500,L1-LS,2.086042270000007,0.02833834399999091,32
202,1,10000,1500,L2-LogReg,4.572167140000005,0.031146589999991647,32
203,1,10000,1500,L1-LogReg,3.5097628229999884,0.027556051999994224,32
204,1,10000,2500,L2-LS,2.7333523920000005,0.6652288399999975,1
205,1,10000,2500,L1-LS,4.168924277000002,0.7279161910000056,1
206,1,10000,2500,L2-LogReg,7.334255198999998,0.5626227909999955,1
207,1,10000,2500,L1-LogReg,5.61041950900001,0.581914232999992,1
208,1,10000,2500,L2-LS,2.782247158000004,0.07386062300000162,16
209,1,10000,2500,L1-LS,4.145439662000001,0.08794691599999283,16
210,1,10000,2500,L2-LogReg,7.048800232000005,0.05742072700000733,16
211,1,10000,2500,L1-LogReg,5.394328344000002,0.07271810799998946,16
212,1,10000,2500,L2-LS,2.428304849,0.0522713269999997,32
213,1,10000,2500,L1-LS,3.162700896000004,0.05677090899999371,32
214,1,10000,2500,L2-LogReg,7.243590535999999,0.043513838999999166,32
215,1,10000,2500,L1-LogReg,5.508893108000009,0.03522085399998787,32
216,2,1000,500,L2-LS,0.2927957400000025,0.13513664799999958,1
217,2,1000,500,L1-LS,0.7221080270000044,0.124517663000006,1
218,2,1000,500,L2-LogReg,1.0163221149999941,0.13033417500000155,1
219,2,1000,500,L1-LogReg,0.626789016999993,0.1280675330000065,1
220,2,1000,500,L2-LS,0.29110324100000184,0.013698758999993288,16
221,2,1000,500,L1-LS,0.7131405109999918,0.009857021000001964,16
222,2,1000,500,L2-LogReg,0.9634057780000091,0.011875290999995514,16
223,2,1000,500,L1-LogReg,0.6604838779999938,0.01041844300000605,16
224,2,1000,500,L2-LS,0.28636995200000115,0.0072125439999979335,32
225,2,1000,500,L1-LS,0.7131854779999998,0.006955664000003026,32
226,2,1000,500,L2-LogReg,0.9457145519999983,0.012408946000007859,32
227,2,1000,500,L1-LogReg,0.6546562219999998,0.00657296599999313,32
228,2,1000,1500,L2-LS,0.9099783750000086,0.37520580300000006,1
229,2,1000,1500,L1-LS,2.0890072720000035,0.4490588099999968,1
230,2,1000,1500,L2-LogReg,2.9472432099999963,0.46180864499999075,1
231,2,1000,1500,L1-LogReg,2.36657991700001,0.42751299800001163,1
232,2,1000,1500,L2-LS,0.9102162349999929,0.03230962800000725,16
233,2,1000,1500,L1-LS,2.0834575050000126,0.03541079800000091,16
234,2,1000,1500,L2-LogReg,2.9838148770000004,0.03587451700001054,16
235,2,1000,1500,L1-LogReg,2.3954331139999994,0.037543630000001826,16
236,2,1000,1500,L2-LS,0.9018563610000001,0.023015120000010825,32
237,2,1000,1500,L1-LS,2.079911045000003,0.019612244000001056,32
238,2,1000,1500,L2-LogReg,2.9718894850000055,0.020400691000006077,32
239,2,1000,1500,L1-LogReg,2.4071038219999963,0.022570264999998813,32
240,2,1000,2500,L2-LS,1.5092875020000065,0.671378140999991,1
241,2,1000,2500,L1-LS,3.3523543320000044,0.6842265209999994,1
242,2,1000,2500,L2-LogReg,5.448572378999998,0.6811185650000056,1
243,2,1000,2500,L1-LogReg,3.5205577079999983,0.6333368279999974,1
244,2,1000,2500,L2-LS,1.4852301840000024,0.05703412699999433,16
245,2,1000,2500,L1-LS,3.39124142,0.05284347600000672,16
246,2,1000,2500,L2-LogReg,5.302222809,0.06261192600000243,16
247,2,1000,2500,L1-LogReg,3.612112152000009,0.0488426090000047,16
248,2,1000,2500,L2-LS,1.5622389280000135,0.03193421599999624,32
249,2,1000,2500,L1-LS,3.5329104170000107,0.040668903000010914,32
250,2,1000,2500,L2-LogReg,5.187824233000001,0.04054147399999408,32
251,2,1000,2500,L1-LogReg,3.4192500609999996,0.03219493000000284,32
252,2,5000,500,L2-LS,0.31250624399999083,0.13007026800001142,1
253,2,5000,500,L1-LS,0.5871490240000128,0.12866255299999807,1
254,2,5000,500,L2-LogReg,1.0709548600000005,0.1329545349999961,1
255,2,5000,500,L1-LogReg,0.830827382999999,0.13952403499999377,1
256,2,5000,500,L2-LS,0.44256795599999066,0.014080100000001039,16
257,2,5000,500,L1-LS,0.4955117680000001,0.01313864099999762,16
258,2,5000,500,L2-LogReg,1.078160116999996,0.012366925999998557,16
259,2,5000,500,L1-LogReg,0.8501826889999933,0.014702849000002516,16
260,2,5000,500,L2-LS,0.3549961870000118,0.008459150999996723,32
261,2,5000,500,L1-LS,0.6025038629999955,0.008594297000001916,32
262,2,5000,500,L2-LogReg,1.2944019239999989,0.008930904999999711,32
263,2,5000,500,L1-LogReg,0.9256927990000037,0.008819603000006282,32
264,2,5000,1500,L2-LS,1.1718048249999953,0.4820100210000078,1
265,2,5000,1500,L1-LS,2.578908432999995,0.4391690310000058,1
266,2,5000,1500,L2-LogReg,3.50343260599999,0.400522075000012,1
267,2,5000,1500,L1-LogReg,2.451231266999997,0.3994451239999961,1
268,2,5000,1500,L2-LS,1.080203202000007,0.042138734999994654,16
269,2,5000,1500,L1-LS,2.4352908249999956,0.04059850699999856,16
270,2,5000,1500,L2-LogReg,3.393722769000007,0.039556630000006976,16
271,2,5000,1500,L1-LogReg,2.466118605999995,0.03898410500001148,16
272,2,5000,1500,L2-LS,1.1012712830000027,0.02821585800001003,32
273,2,5000,1500,L1-LS,2.4280875909999935,0.023312723000003643,32
274,2,5000,1500,L2-LogReg,3.3842194949999964,0.02370759200000805,32
275,2,5000,1500,L1-LogReg,2.466638357000008,0.023780858000009175,32
276,2,5000,2500,L2-LS,1.7695708439999862,0.662890977999993,1
277,2,5000,2500,L1-LS,4.3948069730000014,0.6481596269999983,1
278,2,5000,2500,L2-LogReg,5.574551787000004,0.642279287000008,1
279,2,5000,2500,L1-LogReg,3.9446758149999965,0.6587666110000043,1
280,2,5000,2500,L2-LS,1.7479512629999903,0.06684109299999363,16
