,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time
30,0,3000,20000,Least squares,0.6624087950000046,0.19589073000000212
31,0,3000,20000,Logistic regression,1.3980905640000003,0.20473349099999893
32,0,3000,25000,Least squares,0.8470808229999989,0.23888723200000328
33,0,3000,25000,Logistic regression,1.7587099879999997,0.24950715800000012
34,0,3000,30000,Least squares,1.0004565029999952,0.29001144800000134
35,0,3000,30000,Logistic regression,2.389723582000002,0.30395081899999354
36,0,4000,5000,Least squares,0.1724810989999952,0.04908736800000213
37,0,4000,5000,Logistic regression,0.38323367299999944,0.0687095950000014
38,0,4000,10000,Least squares,0.38609972600000475,0.1094962100000032
39,0,4000,10000,Logistic regression,0.7545223680000035,0.10271628600000327
40,0,4000,15000,Least squares,0.520881854999999,0.1531364929999981
41,0,4000,15000,Logistic regression,1.0724563519999961,0.1537959320000013
42,0,4000,20000,Least squares,0.688880766000004,0.19405587600000018
43,0,4000,20000,Logistic regression,1.4240814499999956,0.20023712500000101
44,0,4000,25000,Least squares,0.8569616129999957,0.24365794400000595
45,0,4000,25000,Logistic regression,1.8423649600000047,0.3348646560000006
46,0,4000,30000,Least squares,1.043105494999999,0.29559031000000147
47,0,4000,30000,Logistic regression,2.1422623989999963,0.3266908299999898
48,0,5000,5000,Least squares,0.21364533999999935,0.060158208000004265
49,0,5000,5000,Logistic regression,0.3965703150000053,0.056894746000011764
50,0,5000,10000,Least squares,0.3742734899999931,0.10602046500000029
51,0,5000,10000,Logistic regression,0.8254354849999999,0.1410974799999991
52,0,5000,15000,Least squares,0.6117072299999933,0.20275715399999683
53,0,5000,15000,Logistic regression,1.1106462969999882,0.17218162300000017
54,0,5000,20000,Least squares,0.7174201720000042,0.205402976000002
55,0,5000,20000,Logistic regression,1.4879159569999985,0.2156542239999908
56,0,5000,25000,Least squares,0.9031012890000056,0.26411322100000234
57,0,5000,25000,Logistic regression,1.9402922710000041,0.27068484599999465
58,0,5000,30000,Least squares,1.0566477489999926,0.30628748699999164
59,0,5000,30000,Logistic regression,2.251582055,0.3505785690000067
60,0,6000,5000,Least squares,0.19515441900000496,0.05902362999999866
61,0,6000,5000,Logistic regression,0.39154773199999227,0.06319702099999347
62,0,6000,10000,Least squares,0.3900208999999961,0.11409975599998745
63,0,6000,10000,Logistic regression,0.7818334789999994,0.1190418830000084
64,0,6000,15000,Least squares,0.5860940169999935,0.17534927799999878
65,0,6000,15000,Logistic regression,1.1427906679999893,0.1693274419999966
66,0,6000,20000,Least squares,0.805994572000003,0.2643285720000108
67,0,6000,20000,Logistic regression,1.527962204000005,0.292657504999994
68,0,6000,25000,Least squares,1.0494693619999964,0.28694597199999805
69,0,6000,25000,Logistic regression,2.0391223839999952,0.2908386000000007
70,0,6000,30000,Least squares,1.137938234999993,0.32674012299999333
71,0,6000,30000,Logistic regression,2.275733469000002,0.33597767999999917
72,1,1000,5000,Least squares,0.1787887500000096,0.05123182599999154
73,1,1000,5000,Logistic regression,0.43045732599999553,0.05698813300000438
74,1,1000,10000,Least squares,0.3910077989999934,0.09843370300001197
75,1,1000,10000,Logistic regression,0.6972589589999956,0.08901368300000456
76,1,1000,15000,Least squares,0.5594341870000079,0.18213761900000236
77,1,1000,15000,Logistic regression,1.2019129620000086,0.1449505060000007
78,1,1000,20000,Least squares,0.7017779130000008,0.19226701699999182
79,1,1000,20000,Logistic regression,1.4846871190000002,0.19914673800001026
80,1,1000,25000,Least squares,0.8672729860000032,0.23908368400000768
81,1,1000,25000,Logistic regression,1.8409049619999962,0.25734559400000023
82,1,1000,30000,Least squares,1.0723223300000058,0.27931466900000146
83,1,1000,30000,Logistic regression,2.289593228000001,0.2929793790000019
84,1,2000,5000,Least squares,0.19524512499999958,0.05934305300000631
85,1,2000,5000,Logistic regression,0.40568484300000307,0.05374761699999908
86,1,2000,10000,Least squares,0.3662296260000062,0.08935692499998993
87,1,2000,10000,Logistic regression,0.7026807440000056,0.10404025200000433
88,1,2000,15000,Least squares,0.519489078999996,0.14479979399999365
89,1,2000,15000,Logistic regression,1.1406625730000002,0.1458005490000005
90,1,2000,20000,Least squares,0.6498167959999961,0.18036932299999364
91,1,2000,20000,Logistic regression,1.4551205260000017,0.22029548600001192
92,1,2000,25000,Least squares,0.8508640170000064,0.22233479500000897
93,1,2000,25000,Logistic regression,1.8817262370000094,0.2428804550000052
94,1,2000,30000,Least squares,1.013404353000027,0.2762654560000044
95,1,2000,30000,Logistic regression,2.0718462970000076,0.28877329900001314
96,1,3000,5000,Least squares,0.17238345000001232,0.049731291999989935
97,1,3000,5000,Logistic regression,0.35096520399997644,0.050122205999997504
98,1,3000,10000,Least squares,0.335919113999978,0.09642365099998074
99,1,3000,10000,Logistic regression,0.6931951709999851,0.10391827099999773
100,1,3000,15000,Least squares,0.49888078899999755,0.14002911099998983
101,1,3000,15000,Logistic regression,1.057529757999987,0.1858759550000002
102,1,3000,20000,Least squares,0.8281678319999912,0.22763772399997606
103,1,3000,20000,Logistic regression,1.5573778650000065,0.2143075890000148
104,1,3000,25000,Least squares,0.9266619079999998,0.2634345969999856
105,1,3000,25000,Logistic regression,1.9573936679999804,0.2638452410000127
106,1,3000,30000,Least squares,1.1208083489999865,0.2843421890000002
107,1,3000,30000,Logistic regression,2.301566863000005,0.30798903200002314
108,1,4000,5000,Least squares,0.17531130200001144,0.0496641610000097
109,1,4000,5000,Logistic regression,0.3527653129999919,0.050420716999980186
110,1,4000,10000,Least squares,0.3587200009999947,0.13282751799999915
111,1,4000,10000,Logistic regression,0.8749596019999899,0.12548078000000373
112,1,4000,15000,Least squares,0.5249857919999954,0.15093514999998092
113,1,4000,15000,Logistic regression,1.2963072800000077,0.18148112400001537
114,1,4000,20000,Least squares,0.8079812340000103,0.26316331900000023
115,1,4000,20000,Logistic regression,1.4484724219999805,0.20595111899999097
116,1,4000,25000,Least squares,0.8825500659999932,0.25382742299998995
117,1,4000,25000,Logistic regression,1.897626527,0.2972528820000093
118,1,4000,30000,Least squares,1.1170554210000034,0.35126704799998265
119,1,4000,30000,Logistic regression,2.302456372999984,0.3279752819999828
120,1,5000,5000,Least squares,0.17542437400001631,0.05062487600000054
121,1,5000,5000,Logistic regression,0.3817613969999911,0.05661154599999918
122,1,5000,10000,Least squares,0.3793418509999924,0.11426308499997617
123,1,5000,10000,Logistic regression,0.7768826960000013,0.12357733900000767
124,1,5000,15000,Least squares,0.5748307940000075,0.16366058899998848
125,1,5000,15000,Logistic regression,1.185278414999999,0.18589881400001218
126,1,5000,20000,Least squares,0.7149344910000082,0.2001797789999955
127,1,5000,20000,Logistic regression,1.4808366880000108,0.24466688399999725
128,1,5000,25000,Least squares,1.021181719999987,0.26725207300000875
129,1,5000,25000,Logistic regression,2.17465411500001,0.27161919500002796
130,1,5000,30000,Least squares,1.1469826940000019,0.3166306170000155
131,1,5000,30000,Logistic regression,2.6699520249999864,0.3548062929999958
132,1,6000,5000,Least squares,0.18950625600001558,0.056352760000009994
133,1,6000,5000,Logistic regression,0.37739572300000646,0.05718785600001297
134,1,6000,10000,Least squares,0.3651103039999839,0.11029719699999418
135,1,6000,10000,Logistic regression,0.7446490250000011,0.1135606409999923
136,1,6000,15000,Least squares,0.5365093620000039,0.157003192000019
137,1,6000,15000,Logistic regression,1.0940035080000143,0.1678295859999821
138,1,6000,20000,Least squares,0.7319716849999907,0.21188241199999425
139,1,6000,20000,Logistic regression,1.4453085009999995,0.21940949200001114
