algo,exp,eta_zero,loss
Prox FTRL,1,0.14384499192237854,0.5198393059145493
AdaHedge FTRL,1,0.14384499192237854,0.38774692256946147
Proximal Point,1,0.14384499192237854,0.4588559626421938
FTRL,1,0.2069138139486313,0.4948073839507997
Tight prox FTRL,1,0.2069138139486313,0.49280347616125564
Prox FTRL,1,0.2069138139486313,0.4928538987742156
AdaHedge FTRL,1,0.2069138139486313,0.38299419647432786
Proximal Point,1,0.2069138139486313,0.4357540726752732
FTRL,1,0.29763513803482056,0.47170420829206705
Tight prox FTRL,1,0.29763513803482056,0.46767669723910366
Prox FTRL,1,0.29763513803482056,0.4677395320663167
AdaHedge FTRL,1,0.29763513803482056,0.37928191292749214
Proximal Point,1,0.29763513803482056,0.4156687456560754
FTRL,1,0.4281332492828369,0.4522647487036884
Tight prox FTRL,1,0.4281332492828369,0.4449191824236817
Prox FTRL,1,0.4281332492828369,0.4449941885053646
AdaHedge FTRL,1,0.4281332492828369,0.3764481570753284
Proximal Point,1,0.4281332492828369,0.3988369932837292
FTRL,1,0.615848183631897,0.43781923545524476
Tight prox FTRL,1,0.615848183631897,0.4248544761976365
Prox FTRL,1,0.615848183631897,0.42494113355865437
AdaHedge FTRL,1,0.615848183631897,0.37433527792241295
Proximal Point,1,0.615848183631897,0.3858515859385641
FTRL,1,0.8858667612075806,0.43078091909736393
Tight prox FTRL,1,0.8858667612075806,0.4078707110195509
Prox FTRL,1,0.8858667612075806,0.4079681134000832
AdaHedge FTRL,1,0.8858667612075806,0.3728038578033952
Proximal Point,1,0.8858667612075806,0.37701314551518345
FTRL,1,1.2742749452590942,0.43493498082086446
Tight prox FTRL,1,1.2742749452590942,0.3943451356294174
Prox FTRL,1,1.2742749452590942,0.39445063439993666
AdaHedge FTRL,1,1.2742749452590942,0.37174049540541837
Proximal Point,1,1.2742749452590942,0.371797762280063
FTRL,1,1.832980751991272,0.45517178159207106
Tight prox FTRL,1,1.832980751991272,0.38437214229596184
Prox FTRL,1,1.832980751991272,0.38448233326078857
AdaHedge FTRL,1,1.832980751991272,0.37105767777720533
Proximal Point,1,1.832980751991272,0.36908537588864604
FTRL,1,2.636650800704956,0.4970566107220948
Tight prox FTRL,1,2.636650800704956,0.3776156888614644
Prox FTRL,1,2.636650800704956,0.3777270530786383
AdaHedge FTRL,1,2.636650800704956,0.3706904314339349
Proximal Point,1,2.636650800704956,0.36781120127585337
FTRL,1,3.7926902770996094,0.5667357871942222
Tight prox FTRL,1,3.7926902770996094,0.3734318749124847
Prox FTRL,1,3.7926902770996094,0.3735413751293133
AdaHedge FTRL,1,3.7926902770996094,0.37059435780119737
Proximal Point,1,3.7926902770996094,0.36732185871322537
FTRL,1,5.455595016479492,0.6713375283665955
Tight prox FTRL,1,5.455595016479492,0.3711244689931885
Prox FTRL,1,5.455595016479492,0.3712296850400351
AdaHedge FTRL,1,5.455595016479492,0.37074378387779666
Proximal Point,1,5.455595016479492,0.36731381385108053
FTRL,1,7.847599506378174,0.8197243687361478
Tight prox FTRL,1,7.847599506378174,0.37013000887404673
Prox FTRL,1,7.847599506378174,0.3702299179640721
AdaHedge FTRL,1,7.847599506378174,0.3711287794599069
Proximal Point,1,7.847599506378174,0.36767727723570304
FTRL,1,11.288378715515137,1.023455748938024
Tight prox FTRL,1,11.288378715515137,0.3700851819675974
Prox FTRL,1,11.288378715515137,0.37017952321245456
AdaHedge FTRL,1,11.288378715515137,0.37175238891840795
Proximal Point,1,11.288378715515137,0.3684091441395623
FTRL,1,16.237768173217773,1.2980518254972995
Tight prox FTRL,1,16.237768173217773,0.3708258331588949
Prox FTRL,1,16.237768173217773,0.370916258203303
AdaHedge FTRL,1,16.237768173217773,0.3726277413079141
Proximal Point,1,16.237768173217773,0.3695917810750305
FTRL,1,23.357213973999023,1.6648828472420574
Tight prox FTRL,1,23.357213973999023,0.3723654929933244
Prox FTRL,1,23.357213973999023,0.3724539187933681
AdaHedge FTRL,1,23.357213973999023,0.37378212352435747
Proximal Point,1,23.357213973999023,0.3713931616679501
FTRL,1,33.598182678222656,2.154246915239841
Tight prox FTRL,1,33.598182678222656,0.3748552987964717
Prox FTRL,1,33.598182678222656,0.3749440232416579
AdaHedge FTRL,1,33.598182678222656,0.3752525245136807
Proximal Point,1,33.598182678222656,0.3740561263966933
FTRL,1,48.32930374145508,2.808430079512298
Tight prox FTRL,1,48.32930374145508,0.3785426973067563
Prox FTRL,1,48.32930374145508,0.3786340809918794
AdaHedge FTRL,1,48.32930374145508,0.37708623775562267
Proximal Point,1,48.32930374145508,0.377877581679529
FTRL,1,69.51927947998047,3.6869029769822954
Tight prox FTRL,1,69.51927947998047,0.3837319394535859
Prox FTRL,1,69.51927947998047,0.38382815266495013
AdaHedge FTRL,1,69.51927947998047,0.37934267315632086
Proximal Point,1,69.51927947998047,0.3831846807312338
FTRL,1,100.0,4.882988685593009
Tight prox FTRL,1,100.0,0.3907346298399655
Prox FTRL,1,100.0,0.39083631421823706
AdaHedge FTRL,1,100.0,0.3820874398506419
Proximal Point,1,100.0,0.3902960845739563
FTRL,2,0.10000000149011612,0.5494211839586496
Tight prox FTRL,2,0.10000000149011612,0.5492242787481904
Prox FTRL,2,0.10000000149011612,0.5492509223371065
AdaHedge FTRL,2,0.10000000149011612,0.3949837146589685
Proximal Point,2,0.10000000149011612,0.4884746216293879
FTRL,2,0.14384499192237854,0.5223200721777975
Tight prox FTRL,2,0.14384499192237854,0.5214986337873558
Prox FTRL,2,0.14384499192237854,0.521535452849521
AdaHedge FTRL,2,0.14384499192237854,0.3890275071708187
Proximal Point,2,0.14384499192237854,0.4628935524188387
FTRL,2,0.2069138139486313,0.49663140458986166
Tight prox FTRL,2,0.2069138139486313,0.4946164233688876
Prox FTRL,2,0.2069138139486313,0.49466373503257316
AdaHedge FTRL,2,0.2069138139486313,0.38420832531874416
Proximal Point,2,0.2069138139486313,0.44018240068954373
FTRL,2,0.29763513803482056,0.4735714897140861
Tight prox FTRL,2,0.29763513803482056,0.4695362082957926
Prox FTRL,2,0.29763513803482056,0.4695934972143888
AdaHedge FTRL,2,0.29763513803482056,0.38041244765582777
Proximal Point,2,0.29763513803482056,0.42016026674730184
FTRL,2,0.4281332492828369,0.45407850163057445
Tight prox FTRL,2,0.4281332492828369,0.4467490734849542
Prox FTRL,2,0.4281332492828369,0.44681540253396923
AdaHedge FTRL,2,0.4281332492828369,0.3774913482962496
Proximal Point,2,0.4281332492828369,0.4029709264354694
FTRL,2,0.615848183631897,0.4394548206888139
Tight prox FTRL,2,0.615848183631897,0.42658026035063645
Prox FTRL,2,0.615848183631897,0.4266547047117747
AdaHedge FTRL,2,0.615848183631897,0.37529918007093843
Proximal Point,2,0.615848183631897,0.38927269981477014
FTRL,2,0.8858667612075806,0.4320996417254209
Tight prox FTRL,2,0.8858667612075806,0.40943521183457954
Prox FTRL,2,0.8858667612075806,0.40951637714551203
AdaHedge FTRL,2,0.8858667612075806,0.37370503219590206
Proximal Point,2,0.8858667612075806,0.37958538685092286
FTRL,2,1.2742749452590942,0.43581171130761504
Tight prox FTRL,2,1.2742749452590942,0.395725049501886
Prox FTRL,2,1.2742749452590942,0.3958111883893494
AdaHedge FTRL,2,1.2742749452590942,0.37259885779104723
Proximal Point,2,1.2742749452590942,0.37362762667995186
FTRL,2,1.832980751991272,0.4554941306896508
Tight prox FTRL,2,1.832980751991272,0.3855821314825368
Prox FTRL,2,1.832980751991272,0.3856708453786806
AdaHedge FTRL,2,1.832980751991272,0.3718922761685357
Proximal Point,2,1.832980751991272,0.3704085150683255
FTRL,2,2.636650800704956,0.4966684737466276
Tight prox FTRL,2,2.636650800704956,0.3786930921206109
Prox FTRL,2,2.636650800704956,0.3787823420768111
AdaHedge FTRL,2,2.636650800704956,0.3715170996738266
Proximal Point,2,2.636650800704956,0.3688524071298295
FTRL,2,3.7926902770996094,0.5653593372106552
Tight prox FTRL,2,3.7926902770996094,0.3744196985975562
Prox FTRL,2,3.7926902770996094,0.37450742944641363
AdaHedge FTRL,2,3.7926902770996094,0.3714213597175778
Proximal Point,2,3.7926902770996094,0.3682317461155351
FTRL,2,5.455595016479492,0.6685337870195508
Tight prox FTRL,2,5.455595016479492,0.37206045322880077
Prox FTRL,2,5.455595016479492,0.37214535651868
AdaHedge FTRL,2,5.455595016479492,0.37156686383533943
Proximal Point,2,5.455595016479492,0.368177680758352
FTRL,2,7.847599506378174,0.8149406063705683
Tight prox FTRL,2,7.847599506378174,0.37104179864018483
Prox FTRL,2,7.847599506378174,0.3711229469483973
AdaHedge FTRL,2,7.847599506378174,0.3719304880185709
Proximal Point,2,7.847599506378174,0.36853789868239484
FTRL,2,11.288378715515137,1.0162076021544635
Tight prox FTRL,2,11.288378715515137,0.37098152715123667
Prox FTRL,2,11.288378715515137,0.3710587088752415
AdaHedge FTRL,2,11.288378715515137,0.3725068807889952
Proximal Point,2,11.288378715515137,0.3692780525604332
FTRL,2,16.237768173217773,1.2882025371976196
Tight prox FTRL,2,16.237768173217773,0.37168667567610686
Prox FTRL,2,16.237768173217773,0.3717601381468208
AdaHedge FTRL,2,16.237768173217773,0.3733079310118385
Proximal Point,2,16.237768173217773,0.3704468532434198
FTRL,2,23.357213973999023,1.652877690512687
Tight prox FTRL,2,23.357213973999023,0.3731343152654789
Prox FTRL,2,23.357213973999023,0.3732050840989023
AdaHedge FTRL,2,23.357213973999023,0.374356279068157
Proximal Point,2,23.357213973999023,0.3721731560000951
FTRL,2,33.598182678222656,2.141504352193326
Tight prox FTRL,2,33.598182678222656,0.3754433420625864
Prox FTRL,2,33.598182678222656,0.37551289654168296
AdaHedge FTRL,2,33.598182678222656,0.3756834541959961
Proximal Point,2,33.598182678222656,0.37466550320341524
FTRL,2,48.32930374145508,2.7979409755915405
Tight prox FTRL,2,48.32930374145508,0.3788341781907908
Prox FTRL,2,48.32930374145508,0.3789042772154177
AdaHedge FTRL,2,48.32930374145508,0.3773310022076076
Proximal Point,2,48.32930374145508,0.37819402492955445
FTRL,2,69.51927947998047,3.6868112161010504
Tight prox FTRL,2,69.51927947998047,0.3835912900029094
Prox FTRL,2,69.51927947998047,0.38366246160862705
AdaHedge FTRL,2,69.51927947998047,0.3793482339975602
Proximal Point,2,69.51927947998047,0.38306789971726146
FTRL,2,100.0,4.919230189606547
Tight prox FTRL,2,100.0,0.3900234677557506
Prox FTRL,2,100.0,0.39009596133377705
AdaHedge FTRL,2,100.0,0.3818118082458672
Proximal Point,2,100.0,0.38960542689764277
FTRL,3,0.10000000149011612,0.543668400131166
Tight prox FTRL,3,0.10000000149011612,0.5434402925389554
