algo,exp,eta_zero,loss
AdaHedge FTRL,1,5.455595016479492,0.33036976568729665
Proximal Point,1,5.455595016479492,0.3347126268130241
FTRL,1,8.858668327331543,
Tight prox FTRL,1,8.858668327331543,0.372921773196018
Prox FTRL,1,8.858668327331543,0.37300287064132326
AdaHedge FTRL,1,8.858668327331543,0.32877224917997194
Proximal Point,1,8.858668327331543,0.36113334308321526
FTRL,1,14.384498596191406,
Tight prox FTRL,1,14.384498596191406,0.4040059528426972
Prox FTRL,1,14.384498596191406,0.4040808682084482
AdaHedge FTRL,1,14.384498596191406,0.3308259826988162
Proximal Point,1,14.384498596191406,0.39542363916545886
FTRL,1,23.357213973999023,
Tight prox FTRL,1,23.357213973999023,0.4422692783631484
Prox FTRL,1,23.357213973999023,0.44233562913221613
AdaHedge FTRL,1,23.357213973999023,0.33661063495591587
Proximal Point,1,23.357213973999023,0.4364910850598981
FTRL,1,37.926902770996094,
Tight prox FTRL,1,37.926902770996094,0.48534747095841535
Prox FTRL,1,37.926902770996094,0.48540055967417894
AdaHedge FTRL,1,37.926902770996094,0.34626563463278354
Proximal Point,1,37.926902770996094,0.48178220875429456
FTRL,1,61.58481979370117,
Tight prox FTRL,1,61.58481979370117,0.5293712711952872
Prox FTRL,1,61.58481979370117,0.529409402211262
AdaHedge FTRL,1,61.58481979370117,0.35996001587117304
Proximal Point,1,61.58481979370117,0.5273698486561825
FTRL,1,100.0,
Tight prox FTRL,1,100.0,0.5701059129196386
Prox FTRL,1,100.0,0.5701313587842779
AdaHedge FTRL,1,100.0,0.377827563014566
Proximal Point,1,100.0,0.5690715915764275
FTRL,2,0.009999999776482582,0.6346297293007374
Tight prox FTRL,2,0.009999999776482582,0.63575196402407
Prox FTRL,2,0.009999999776482582,0.6357652212130767
AdaHedge FTRL,2,0.009999999776482582,0.5858657825676767
Proximal Point,2,0.009999999776482582,0.5943222782204377
FTRL,2,0.016237767413258553,0.605658363096416
Tight prox FTRL,2,0.016237767413258553,0.608079290118832
Prox FTRL,2,0.016237767413258553,0.6081041726431169
AdaHedge FTRL,2,0.016237767413258553,0.5643239492850439
Proximal Point,2,0.016237767413258553,0.5538291229915977
FTRL,2,0.02636650949716568,0.5674853395409882
Tight prox FTRL,2,0.02636650949716568,0.5722399127542455
Prox FTRL,2,0.02636650949716568,0.5722816164402491
AdaHedge FTRL,2,0.02636650949716568,0.5404850087860711
Proximal Point,2,0.02636650949716568,0.5067050709127692
FTRL,2,0.04281332343816757,0.5215575001984835
Tight prox FTRL,2,0.04281332343816757,0.5298526677053509
Prox FTRL,2,0.04281332343816757,0.5299151006492281
AdaHedge FTRL,2,0.04281332343816757,0.5148832397403046
Proximal Point,2,0.04281332343816757,0.45714812099026053
FTRL,2,0.0695192813873291,0.4718169287024066
Tight prox FTRL,2,0.0695192813873291,0.48447819549109183
Prox FTRL,2,0.0695192813873291,0.48456177662307914
AdaHedge FTRL,2,0.0695192813873291,0.48826945781016634
Proximal Point,2,0.0695192813873291,0.4100260604805457
